doc115-1|null|null|售后就更别提了，一买奔驰深似海啊！
doc7041-1|null|null|机械增压的a63.0t去年被评为全美质量最差车，和捷豹xf并列全美质量最烂，途锐总算不垫底了机械增压的应该比一般的少烧点机油吧
doc7066-1|null|null|这价值百万的奥迪a83.0t居然会故障在红绿灯路口，还是崭新没挂牌的.........
doc7079-1|null|null|大众的车子真她妈大众脸。
doc7278-1|null|null|今年7月国产b级车市场销量排名，前三分别是帕萨特、迈腾、凯美瑞、而索纳塔8代销量排名第五，且与前三销量成绩相差甚远。
doc7418-1|null|null|我觉得喃，法拉利开久了没保养，可能是和图片有点差别，但是你奇瑞qq感觉再良好，也就是个和图片一样的奇瑞qq。
doc7757-1|null|null|我也想考虑迈腾的速腾高尔夫简配还不降价，高尔夫以前还要加价提车，其他厂家加油啊，不要让大众这么嚣张看来也有我出的那份工资啊不要买一汽大众的车，我本来还考虑高尔夫呢，直接pass，利润太高了
doc7796-1|null|null|雪佛兰科鲁兹---耗油，本田思域丰田卡罗拉日产轩逸---日系，不考虑，标志408---讨厌车标，车型也难看，雪铁龙世嘉----外形不好，大众朗逸----内饰差，加价提车，售后超差
doc7835-1|null|null|感觉刹车功能不太好，好危险啊！
doc8019-1|null|null|好脑残的车啊！！
doc8023-2|null|null|豪华一点就是宾利，低调一点就是奥迪a8，低调一点就是这辉腾了，大众无好车。
doc8496-1|null|null|2012款本田cr-v太难看了，那尾部设计真够败笔的。
doc8509-3|null|null|昨天老婆说有人跟她说迈腾比致胜好，致胜小毛病不断之类，我的个人观点是，大众喜欢搞提价减配，我不喜欢，不厚道，变速箱都开始延保了，大毛病，还不如小毛病呢；
doc8661-1|null|null|通用的汉兰达肯定不行，爬坡爬不动。
doc8759-1|null|null|恩，赞同，关键是投资了奥迪a4后期还有无限的未知，性价比太低。
doc8818-1|null|null|宜昌天时销售雪佛兰销售顾问犯的低级错误让人无语。
doc8883-1|null|null|看着比亚迪这个牌子就心毛，我的f3两年而已，油耗都超过10了，北海4s店保养连轮胎气压都不检查，检查油耗查了几次一点结果都没有，先把售后做好再去好高骛远提什么突围吧。
doc8953-1|null|null|国外奥迪也烧机油啊，一辆tt威猛的超过我们，然后看到老外急忙冲进超市搞了瓶咕咚咕咚一顿猛灌
doc8977-1|null|null|宝马销售商怎么请的这些素质低下的销售员？？
doc9168-1|null|null|bmw，我对你无语了！
doc9201-2|null|null|噪音大，齿轮箱差，经常窜车和换挡时的大动静，而且刹车时抖动等。
doc9229-1|null|null|每个豪华汽车品牌都会推出相应的自行车，这些豪华品牌汽车推出的自行车主要以山地车为主，并且价格都不菲。
doc9245-1|null|null|奥迪4s店的态度都这样傲慢？
doc9317-1|null|null|本田，日产，马自达不行后，现在本田也不行了
doc9372-1|null|null|设计拯救韩国汽车：韩国车以前给我的印象是外形平平，内饰土气，机械粗糙。
doc9372-2|null|null|为了衬托韩国同行，小日本也很配合：本田在运动路上越走越远，日产坚持“窄胖高”路线，丰田根本就没有设计。
doc9464-2|null|null|在看新款本田crv，感觉内饰好多塑料件，不是很舒服的样子？
doc9547-2|null|null|做不好的日企不要啥都怪政治啊政治的牺牲品，杯具～日系车真是杯具寮~
doc9600-1|null|null|不过日本车的安全性确实有待考虑，从来没有考虑过日本的车...
doc9636-1|null|null|宝马与奥迪的4s店服务相差太远了，杭卅骏宝行真是要好好反思一下，员工素养不是一个级别。
doc9682-1|null|null|我还真不信丰田这么硬气。
doc9720-2|null|null|由于2012年上半年1600万元净利润令人失望，比亚迪（byd）实际状况比预想的更差。
doc9787-2|null|null|美国特色，大排量加马力低............
doc9797-1|null|null|一位同行和我分享，说看完这部车有点失望，尤其是内饰，没有照片上那么有质感，还是有较强的塑料感。
doc9865-1|null|null|马自达全球连亏五年，不能不说是车企里的奇葩，福特曾是马自达的第一大股东！
doc9867-1|null|null|奔驰慢慢跟不上宝马和奥迪的节奏了3.5v6的技术out了
doc9915-1|null|null|这个嘴下面有点像福特的车～太凶了我还是喜欢咱的大嘴你瞧这样看来咱们的大嘴就显得太无辜了对不对~新款用这个造型太有侵略性了萌态全无啊~~
doc9916-1|null|null|5.26比亚迪出租车爆炸危机虽然化解，但真正的安全隐患没排除，按目前技术，一个电动车如果要有一定续航能力，车载电池的重要将严重影响车辆的控制，电池太重，车辆转弯将可能侧翻。
doc9928-1|null|null|这是供求关系造成的奥迪4s店的态度都这样傲慢？
doc9990-1|null|null|国产车就是给力，高速，一长安奔奔，追尾丰田凯美瑞，整个后备箱被彻底干翻，这是什么级别的对抗，这是什么力量，看谁还买小日本！
doc9992-1|null|null|好的品也要配合好的服好的服才得更多的客奥迪4s店的态度都这样傲慢？
doc10033-1|null|null|果断的宝马x1，奥迪a1现有款都是两门的，上下车及其不方便，空间也太小，腿伸不开。
doc10143-1|null|null|起亚车动力真无法与日本人的尼桑车相比，提速还是有着很大的延迟。
doc10226-1|null|null|audi的服务意识真tmd的差劲。
doc10226-2|null|null|0609是高级黑啊搞笑奥迪的销售和客服，就这水平和智商。
doc10247-1|null|null|我近年对奔驰很失望，售后不如宝马，操控不如奥迪，性价比不如大众，我说的不全对，纯属个人意见。
doc10255-1|null|null|定价不合理，经典款式供应不足，刻意制造短缺。
doc10266-1|null|null|碰到了接我们的司机，丰田车比我想象中小些，不过我们就两个人倒真心无所谓了。。。
doc10492-1|null|null|丰田的设计师就如此缺乏想象力吗？
doc10514-1|null|null|死福特好的没学到，学到了大众的套娃战术。
doc10538-2|null|null|还有后面撅着的尾巴，已经过时了。
doc10628-1|null|null|大多款不比陆虎便宜啊，有一款的官方报价竟然是388万。
doc10643-1|null|null|就你这服务态度不倒闭是老天瞎了眼！！
doc10650-1|null|null|起亚爱积碳，居然还说出来油耗高、动力差这个是事实，居然还赖在市区低速行驶
doc10718-1|null|null|车主投诉聆风电池老化过快?
doc10766-1|null|null|大众汽车是没有诚信且傲慢的企业，这样一个漠视客户，懒惰并只在乎赢利的企业，必将受到市场的惩罚！
doc10786-1|null|null|奥迪也是，销售都剥面皮的！
doc10836-2|null|null|大形势下，日系冷淡，正常！
doc10904-1|null|null|一部奔驰一年两次大保养均价一万五大约三次小保养均价三千还有七七八八的零件更换两万好贵好贵德系保养最贵奔驰最低宝马奥迪居中不过小毛病多以及带t（涡轮）的烧机油
doc11030-2|null|null|贵阳贵和本田，曾经门庭若市，店外随处可见“全国销量冠军店”横幅，店内上下热闹非凡；
doc11035-1|null|null|哈哈，服务来说雷克萨斯ok的奥迪4s店的态度都这样傲慢？
doc11104-2|null|null|这4s店也真变态，只能选高配，定车等4个月，还要加价两万，当神车卖啊，严重鄙视！
doc11140-1|null|null|可惜品牌影响力实在太差。
doc11143-1|null|null|或者我拿沃尔沃的xc60跟你换个奥迪r8的，沃尔沃的太小气了不够大。。
doc11244-1|null|null|木有天理，昨天去熊猫4s店控诉其14.4高油耗，并且痛斥1.3排量自动档跑不过0.8手动档比亚迪时，工作人员居然很淡定地说：'你这款车的确动力小了点，油耗高了点，但你说的一切都是正常的。
doc11254-1|null|null|通用的v8引擎没可能在中国普及的，因为排量实在太高，税交不起啊别克有v8的么？
doc11265-1|null|null|byd的策略根本就是有问题，为了圈钱，不是为了造车……
doc11304-1|null|null|估计又是个根本不省油的混合动力车……
doc11304-2|null|null|对除了福特之外的非泥轰车厂做的混合动力车毫无信心这套混动因为太保护电池，所以限制条件相当多，特别是夏天，基本不可能参与工作。
doc11319-1|null|null|用了东风日产原装电瓶二年多一点，电瓶就鼓起来发不动车了，只能又换，日产配件质量太差
doc11352-2|null|null|别克4s店的销售，态度差，又牛皮哄哄的，车没高6好，把英朗都能吹上天。
doc11419-2|null|null|可惜系大众旗下我不喜欢！
doc11481-1|null|null|速腾内饰也不好看。。
doc11617-1|null|null|没想到奥迪a4这个在中国卖的火的不得了的车，其实不堪一击～～美国最新的汽车碰撞试验
doc11637-1|null|null|个人比较讨厌开别克的，因为经常发现别克大白天的开着车灯甚至远光，每次被晃发现又是个别克，心中一万只羊驼奔腾，最近在上海各种原因各种机会开了各种别克，才发现原来几乎都是特么自动开灯的，别克的设计师大概都是偏远山区出来的吧，默认不是自动会死啊
doc11659-1|null|null|本来嘛，奥迪就在中国火了一把，在国外就是跟大众、别克一样的档次，而且小毛病又那么多~
doc11660-1|null|null|同为豪华车“bba阵营”，奔驰的销量绝对值和相对增幅，都远远落后于对手。
doc11672-1|null|null|比亚迪奇瑞吉利什么的，你们看看吧，你们是怎么对待客户的
doc11798-1|null|null|不过大奔动力还不如这别克，所以说，买啥车别买低配。
doc11822-1|null|null|当然，国内各大城市中，车风车德最差的，无疑非奥迪a6莫属。
doc11824-1|null|null|比亚迪回复玻璃本性，没有默德萨克是最大败笔
doc11854-1|null|null|我跟老爸商量买车的事情，我选了即将发布的encore，别克君越和大众图观，最后我爸还是劝我买图观或凯悦，因为encore的新设计不符合规范，而君越不适合我这个档次的男生
doc11939-1|null|null|新览胜的灯更是无力吐槽
doc11939-2|null|null|无力吐槽啊福特要把前脸做成阿斯顿马丁.....
doc12080-1|null|null|出事了才觉得日本车确实不好。
doc12123-1|null|null|哎，比亚迪何时能赶上这种服务啊。
doc12131-2|null|null|奥迪q7对我来说是个恶心的车除了开车的人舒服就没有让人舒服的地方！
doc12295-5|null|null|底盘厚实度差一点，前门板扶手太短，整体舒适性不敌polo。
doc12315-1|null|null|亲身体会，上海大众无论是产品质量，还是售后服务质量，都比一汽大众差！
doc12318-1|null|null|奔驰甲醛超标，宝马生锈，奥迪烧机油，于是我们可以知道：只要是量产商品就没有完美品。
doc12478-1|null|null|对大众汽车的前脸非常的审美疲劳，福特蒙迪欧和雪铁龙的设计让人耳目一新！
doc12501-2|null|null|比亚迪的发动机挂个凌志、奔驰、宝马的牌子也跑的是比亚迪的速度。
doc12593-1|null|null|高速断车轴，刹车常漏油！
doc12593-6|null|null|丰田就是刹的住，吓得车主尿一裤！
doc12593-9|null|null|赵本山说：车到山前必有路，可惜丰田刹不住！
doc12774-1|null|null|D1384-----欧美研发那么多年，技术很成熟，人家不批量生产，居然在中国这个发展中国家制造
doc12784-2|null|null|强烈鄙视日产车商，今天路上这么拥挤，脑残日产车商东风尼桑启辰…
doc12835-1|null|null|奥迪的大嘴更大了。
doc12954-2|null|null|坑爹的东昌福特4s，明明坏了一根皮管，竟然忽悠我换进气歧管总成还好没上当。
doc12960-1|null|null|买过之后保养你才会发现，保养和到医院看病是一样，这个搞不搞随便你，搞了肯定好点，但你不搞，出了问题我们不负责任，尼玛，日产的，你还有的良心不。
doc13087-1|null|null|奥迪的吉普中看不中用~苦逼的赶路孩子只能窝在最后座的小小空间里~
doc13149-3|null|null|再看看我国的比亚迪，吉利，不是气囊不会爆，就是车头灯进水，总之做出来的产品惨不忍睹。
doc13488-1|null|null|上坡别跟汉兰达，下坡躲着凯美瑞、、日货啊
doc13617-1|null|null|中间还来个日产，看着就来火。
doc13620-2|null|null|奇瑞汽车下线了这是结果，而不是奇瑞委屈的到处说自己一腔热血工业报国无门。
doc13638-1|null|null|车问网已经发布《“健康汽车”检测报告》，11款主流车型存在致癌风险。
doc13657-1|null|null|做一个中保竟然要近1500，4s真是会赚钱呀我在#上海锦江大众汽车销售#
doc13679-1|null|null|然而年上半年，日系车在中国的市场份额已经降至22.3%，位列第二，前景堪忧
doc13679-2|null|null|丰田混动虽然大举进入中国市场，但其攻势却面临多重现实难题，因核心零部件不国产，加上政府补贴政策迟迟未能出台等因素，导致混动车型售价高企，在华销量计划也未能大幅。
doc13682-1|null|null|国内，车主正对奔驰c系异味进行集体投诉，销量也被宝马，奥迪抛开。
doc13685-2|null|null|在樵乐路雪佛兰买车，订金刷卡了，现在过来俾首付，竟然被告知这属于二次刷卡，要我们支付银行手续费0.8%！
doc13735-2|null|null|以前那别克可是小毛病不断，保养费还死贵，不到2年排气管消音器就坏了，4s店换个1500多元，6年下来换了3个。
doc13838-1|null|null|草，什么技术感…
doc13838-2|null|null|鄙视奥迪的销售人员，吊的很（总觉的自己的车不怕卖不出去，不看看现在的市场经济！
doc13857-1|null|null|烂别克！
doc13884-1|null|null|但悲剧的是，加上关税得50万，谁会花50万买辆雪佛兰？？
doc13907-1|null|null|什么媒体吧，奔驰当保时捷，奥迪成了路虎，业务水平也就这样还去质疑别人，吃饱了撑着，富二代不能为国家服务？
doc13920-1|null|null|福特把欧美适用的设计拿到东方给部分人带来不便自己换支撑杆吧童鞋们，这是哪家汽车厂商设计的，太糗了吧！
doc13942-1|null|null|欧洲车市不好，不过竞争依然激烈。
doc13946-1|null|null|王传福过于沉浸在业绩的光环中，缺乏了后续的创新，使得比亚迪跌入过于依赖单一车型的窘迫局面，导致销量和利润没有支撑点。
doc13973-1|null|null|蛮好的史诗故事被本田拿来作车款名称就觉得恶心了奥德修斯复仇计划
doc13983-1|null|null|我又开上一辆l1.5的手挡车，起步不给力…
doc14037-1|null|null|如目前网络疯传的部分不法人士打着爱国的旗号，打砸自己同胞的日系车辆，在汽车这一领域，我们的一些民族品牌相比日系车系确实缺乏竞争力。
doc14037-2|null|null|放眼望去：本田、丰田、日产、铃木、英菲尼迪、讴歌、斯巴鲁等等，可谓数不胜数，这些品牌我们的民族品牌确实与之有差距，望政府与相关产业人士，树立自己的品牌
doc14042-3|null|null|原车配的国产配件可能不是非常稳定。
doc14055-1|null|null|automotivenews9月25日的新闻china''sautomakersfindnewsuccessatmakingbettercars狂吐槽中国自主品牌，尤其是吉利，大爆其熊猫完全copy丰田在欧洲的车型aygo，而且还偷工减料，不考虑安全，被批得体无完肤！
doc14090-1|null|null|中国的汽车工业真的已经陷入到了吃人边角料的死循环中了吗？
doc14134-1|null|null|对雪佛兰4s店的各种坑蒙拐骗已经失望之极，3万公里告诉我轮胎跑偏，并且已经磨平，得换胎，4条都得换
doc14207-1|null|null|蓝驱和奔驰的blueefficiency相似，内容宽泛，概念模糊。
doc14233-1|null|null|丰田就更惨啦
doc14233-2|null|null|日产停系因为产能过剩遮.
doc14277-1|null|null|加达雪佛兰的销售们显然很缺乏这点，散漫业余，拉黑！
doc14323-1|null|null|如果此条新闻为真，傻逼丰田离关门儿不远了……
doc14323-2|null|null|下次在中国见到丰田的时候，它可能已经门庭改换姓名香了。
doc14323-3|null|null|丰田这帮傻逼，你们坑害了你们在地球上最大的客户群，中国客户。
doc14386-3|null|null|雪佛兰科鲁兹你的电瓶就像大姨妈一样，一月来一次！
doc14408-1|null|null|据北京晨报报道，雪佛兰爱唯欧等11款主流车型内饰致癌物超标
doc14475-2|null|null|比亚迪要倒闭的，垃圾企业，家族式管理，狂妄自大吹牛皮却又没什么水平（管理水平，技术水平）。
doc14507-1|null|null|话说奥迪在这部电影的广告打得真失败，剧中最长的一段飙车戏，居然是一宝马和一路虎，宝马废了后，广告商的q5上镜，q5放在路虎旁边就像姚明旁边站了个郭敬明。。。
doc14566-1|null|null|在瑞安上金村，无意发现一汽大众4s店的排污口有黑色的污水直排入小溪，本来清澈的小溪瞬间变黑了，居住在附近的小朋友说这样的污水直排，已经排过很多次了
doc14581-1|null|null|别克看着胖，不好看。
doc14630-3|null|null|但在系统实施中发现byd功能与售前顾问的说法严重不符，而且售后顾问也很明确byd就是一个标准软件。
doc14636-1|null|null|后来一查是涡轮进气口松动，虽然不算大问题，也不会诱发重大事故，但这种低级错误着实不应该出现啊。
doc14636-2|null|null|#口碑分享#蒙迪欧-致胜车主口碑截取：装配的比较糙，首保做完拉高速时居然提示发动机故障，当时是160km/h的速度，想吓死人啊。
doc14646-1|null|null|今天来到起亚4s店做保养第一感觉就想买车不过隔壁的斯巴鲁销量好像很惨淡啊……
doc14680-1|null|null|好好国旗被王总设计的本田标志弄的四分五裂
doc14686-1|null|null|已经对奥迪a4l失望之极，无缘无故刹车油管会破裂的，已经第三次刹车失灵了，还不算在质保范围内~
doc14731-1|null|null|丰田如此极其不负责任的行为，将直接造成国内的某些人会蒙受严重损失，是要破坏中国内部统一的反日口径。
doc14736-1|null|null|大众汽车集团我投降了
doc14777-1|null|null|对于2009至2011车型，美国高速公路损失数据研究中心列出了最经常（约为平均水平的两倍）受到人身伤害保险索赔的车型，排在第一的是丰田雅力士。
doc14804-3|null|null|国产的奔驰c甲醛超标4倍。
doc14804-7|null|null|北汽太丢国产车的脸，上周末跟北奔工厂一小领导吃饭说奔驰国产车别买。
doc14817-1|null|null|无怪乎韩国出了三星lg现代起亚而我们……
doc14838-2|null|null|可是我的车目前还没有给我任何回应，我觉得雪佛兰不仅是服务态度，这个公司的诚信都有严重的问题。
doc14841-2|null|null|雅力士，雅力士包你英年要早逝！
doc14841-3|null|null|开上丰田雅力士，重症房里把伤治！
doc14841-4|null|null|赵本山小品:车到山前比有路，可惜丰田刹不住，丰田就是刹住车，吓得车主尿一裤。
doc14841-5|null|null|买了丰田凯美瑞，太平房里安心睡，三轮丰田好，缺腿也能跑，高速断车轴，刹车常漏油，开三轮丰田奔极乐黄泉！
doc14937-1|null|null|因为它用丰田普通车的发动机开雷克萨斯的人，已经得不到开豪车的那种自豪感，雷克萨斯已经是衰败中的品牌了，怎能和如日中天的宝马、奥迪媲美？
doc14949-1|null|null|丰田在动力电池方面乏善可陈，因此有此一说，你看。。。
doc14949-2|null|null|还是油电混合靠谱，除非电池有突破性质革命byd的股票要跌了。
doc14975-1|null|null|比亚迪的所谓电池技术，军网上科普过，完全就是忽悠。
doc14989-1|null|null|别克encore给人的第一感觉不是惊艳、不是前卫，而是有点憨厚，这是某小姑娘表达出的第一印象感受。
doc15095-1|null|null|大家睇下这个视频，日本车是如何偷工减料的。。。
doc15095-2|null|null|保险杠，劣质胎，焊接车门，垃圾悬挂系统，没有刹车优先系统，同德国车形成鲜明对比
doc15135-1|null|null|奔驰在中国的问题错综复杂，论政府关系不如奥迪，论品牌个性不如宝马，论性价比不如日系，再加上经销商问题迟迟处理不好，导致现在的状况就不奇怪了
doc15224-1|null|null|吉利比亚迪长城伪军三贱货！
doc15256-1|null|null|个人感觉比亚迪速锐推广广告相当失败！
doc15256-2|null|null|这个功能充其量属于附加卖点，根本不能给消费者以决定性因素。
doc15331-1|null|null|福特车好费油好费油，路好堵好堵，想回家可怜的小思乡情节又来了
doc15457-1|null|null|比亚迪经常吹牛说是要在哪里开个啥大厂，整合上下游之类的，一般这种企业在中国都是很难做大，主要是无法专一，只想通吃。
doc15499-1|null|null|但业内专家表示日系低迷的根本原因还是自身产品、技术问题。
doc15525-2|null|null|13000公里发动机就渗机油，销售员还神吹什么欧宝发动机，狗屁！
doc15575-2|null|null|难怪日系车那么脆弱……
doc15648-1|null|null|下次换个牌子买，还是奥迪好你妹的，去4s店修车，技师私下偷偷地说这个cgi技术还不成熟，车常出问题。
doc15664-1|null|null|从斜上方看，奔驰ecoupe这个冒充e级车的款型真是臃肿到看不下去，那个amg包的造型都是神马啊，把自己当九十年代末起亚么…
doc15713-1|null|null|可惜最后“吉普-鹰”的logo色调貌似有百事可乐的植入，算是一点美中不足吧！
doc15839-1|null|null|大众这一腔的系列广告居然比奥迪和梅赛德斯还难懂，撒情况……
doc16023-1|null|null|今天看了起亚的k3，说真的，有些小失望~~~不是我喜欢的风格~~~
doc16027-2|null|null|可能也知道请教下诺诺，为啥奔驰保养贵那么多？
doc16042-1|null|null|难怪日系车省油，原来少了零件轻了很多。
doc16042-2|null|null|其它方面包括独立悬挂，车门焊接，等都减配严重。
doc16042-3|null|null|同时日系车为了节约成本，电瓶容量都比欧美车少了一半。
doc16042-4|null|null|浙江卫视报道，日系车在国外都是前后2个防撞钢梁，在国内后面是没有防撞钢梁的，安全根本没有保障。
doc16128-1|null|null|譬如说本田，被别的品牌的车一撞，哎呦，塌了一个大坑；
doc16128-2|null|null|丰田呢，车款辆辆千篇一律，没点儿新鲜感，车的质量也不咋的。
doc16249-2|null|null|看到福特锐界2.0t，才豁然开朗起来，原来什么途观，指南者，汉兰达都是浮云啊...
doc16278-1|null|null|在国内民众的眼光中，别克很难和奥迪、宝马相提并论。
doc16362-1|null|null|谁tm说的奥迪保养费用比奔驰便宜的阿！！！
doc16472-1|null|null|又是比亚迪电动出租车，技术尚不成熟到底存在多少安全隐患
doc16481-1|null|null|隔离场的日产，起亚，也一个鸟样__
doc16524-1|null|null|丰田不也有“客户第一，经销商第二，厂家第三”这样牛b的言论吗。
doc16638-1|null|null|丰田电动失败！
doc16680-3|null|null|17万的传祺几乎全方位比不上11万的本田锋范。
doc16680-4|null|null|做工粗，处处手感糙，椅子硬，顶着腰子，隔音差。
doc16680-5|null|null|2.0的比锋范1.5的动力还差一截，换档顿挫感明显。
doc16680-6|null|null|刚刚试驾了30公里广汽传祺，总体评价是，幸亏他不是买的，只是免费使用。
doc16765-1|null|null|对雪佛兰4s店的各种坑蒙拐骗已经失望
doc16778-1|null|null|日本车还是不行啊！
doc16954-1|null|null|volvo不是别克gl8对手，就象欧洲斗不过美国。
doc16963-3|null|null|但刹车也太高了吧？
doc17009-1|null|null|自行车太次，宝马太好。
doc17105-1|null|null|奔驰不买s400混合动力！
doc17105-2|null|null|奔驰怎么能够推出这种不成熟的产品？
doc17200-1|null|null|合资的奥迪，一年，左侧前车窗降落时吱吱响。
doc17232-1|null|null|mg3太冷门了。
doc17242-2|null|null|这日本车真tnnd贵。
doc17338-1|null|null|丰田你傻b了吗？？
doc17343-1|null|null|就雪佛兰这破车...
doc17350-1|null|null|这别克的微博营销效果不错啊，至少我上当了。
doc17453-1|null|null|就是推广不行，并且没有将运动基因贯彻到底，如果是，也许卖得更好。
doc17510-1|null|null|这些导航甚至远远不及10万块国产小车的导航好用。
doc17510-2|null|null|不好用的导航仪配上别说11寸屏幕，就是配60寸平板也是扯淡啊！
doc17510-3|null|null|5系宝马和奥迪a6的导航基本做的差不多，输入麻烦极了，麻烦到你看着导航仪不想用的程度。
doc17535-1|null|null|破丰田4s。
doc17608-1|null|null|开丰田不安全了。
doc17699-1|null|null|坑爹了，我轻轻的一吻丰田车，你丫直接保险杠掉了。
doc17809-1|null|null|奇瑞真没怎么抄过，看看长城比亚迪抄袭和假冒才是我们的特长，创新那是扯淡！
doc17966-1|null|null|通用的车不靠谱！
doc17997-1|null|null|旁边就是比亚迪工厂，听听振业峦山谷业主无奈的呐喊吧，电池生产污染，让您轻松睡不着觉！
doc18017-1|null|null|呼吁良心车企唤醒黑心4s店维修才是最大的黑幕：一个朋友的#比亚迪f3#后杠被磕了一个小坑，北京某比亚迪4s店竟然喊出1880元的吉利数字，他们为什么不索性喊出8888元呢？
doc18163-1|null|null|马力再大的奥拓，终究也难以成为奥迪！
doc18288-1|null|null|这可以说明日本车为什么省油了，就因为偷工减料后车子轻了，别无它方！
doc18354-1|null|null|至于a4l和q5的低配么有后排空调出风口，我认为那纯属一汽奥迪故意恶心消费者的做法，不就是换一套扶手箱吗，去淘宝买原厂件改了，能用2k吗……
doc18403-2|null|null|所以丰田本田的重心搞错了，在中国只要售后还过得去，产品才是王道！
doc18416-1|null|null|眼镜蛇跑车想当年可以称为无敌的车当年出产的时候他是除左拿来开咩功能都没，没音响，没收音机，没空调，唯一的用处是奔跑无语比的速度后来出了太快撞死人得事情出左5000台就停产了公司就给福特收购了！
doc18430-1|null|null|在北京这种塞车严重的路况下，大众的蓝驱在经济性上无法和丰田混动相比，维修保养成本高，dsg的可靠性也是个问题。
doc18540-2|null|null|给你找个一汽奥迪的闻下才知道什么叫夸张
doc18641-1|null|null|汽车空调不会冷..
doc18641-3|null|null|09年12月底买的奥迪车，用了2年多以来出现各种毛病。
doc18641-4|null|null|多媒体中控台死机坏了没法用(那时在保内给我们更换了).
doc18700-1|null|null|雪佛兰车靠不住啊！
doc18700-2|null|null|难看的车标和有自燃的习惯，我亲眼所见的就有两辆（科鲁兹和景程），这有一辆上演了……
doc18794-1|null|null|现在特不喜欢别克车，特别是宝石蓝的别克君威，不知道为什么。
